strategy_id,symbol,exchange,instrument_id,position_type,open_datetime,close_datetime,entry_price,exit_price,quantity,realized_pnl,fees,duration_seconds,return_pct,order_ids
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-08-20 14:00:00+00:00,2025-08-20 15:00:00+00:00,4211.67,4253.47,0.0,-128.3735851,9.619785100000001,3600.0,-0.9924804175065916,"BINANCE-1-097,BINANCE-1-098"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2025-08-22 15:00:00+00:00,2025-08-24 20:00:00+00:00,4613.93,4784.63,0.0,430.5397455,9.6955545,190800.0,3.69966601140459,"BINANCE-1-099,BINANCE-1-100"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2025-08-25 14:00:00+00:00,2025-08-25 18:00:00+00:00,4657.57,4572.93,0.0,-229.7520522,9.603412200000001,14400.0,-1.8172566381181476,"BINANCE-1-101,BINANCE-1-102"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-09-05 15:00:00+00:00,2025-09-05 20:00:00+00:00,4280.44,4336.24,0.0,-166.12766828,9.664468280000001,18000.0,-1.3036043023614496,"BINANCE-1-103,BINANCE-1-104"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2025-09-09 07:00:00+00:00,2025-09-09 15:00:00+00:00,4360.43,4282.64,0.0,-222.04867413,9.44860413,28800.0,-1.7839983671335102,"BINANCE-1-105,BINANCE-1-106"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-09-15 08:00:00+00:00,2025-09-16 18:00:00+00:00,4508.27,4472.33,0.0,84.71878344,9.40807656,122400.0,0.7972015873051186,"BINANCE-1-107,BINANCE-1-108"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-09-17 09:00:00+00:00,2025-09-17 20:00:00+00:00,4493.08,4499.6,0.0,-26.67871886,9.48547886,39600.0,-0.14511203895770652,"BINANCE-1-109,BINANCE-1-110"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-09-21 23:00:00+00:00,2025-09-29 15:00:00+00:00,4443.01,4162.72,0.0,737.52229411,9.17026589,662400.0,6.30856108809118,"BINANCE-1-111,BINANCE-1-112"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-10-01 15:00:00+00:00,2025-10-02 01:00:00+00:00,4325.01,4390.86,0.0,-195.66717406,9.83847406,36000.0,-1.522539832277836,"BINANCE-1-113,BINANCE-1-114"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2025-10-03 17:00:00+00:00,2025-10-03 18:00:00+00:00,4469.53,4509.82,0.0,99.41558634,9.73002366,3600.0,0.9014370638523506,"BINANCE-1-115,BINANCE-1-116"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2025-10-05 10:00:00+00:00,2025-10-06 14:00:00+00:00,4540.83,4637.13,0.0,-267.62285956,9.82775956,100800.0,-2.1207576588421206,"BINANCE-1-117,BINANCE-1-118"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2025-10-17 12:00:00+00:00,2025-10-17 15:00:00+00:00,3773.7,3796.02,0.0,61.46466883,9.646851170000001,10800.0,0.5914619604102223,"BINANCE-1-119,BINANCE-1-120"
ToTheMoon-Testnset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2025-10-19 10:00:00+00:00,2025-10-21 05:00:00+00:00,3929.58,3862.04,0.0,-216.70393941,9.55875941,154800.0,-1.7187587477542121,"BINANCE-1-121,BINANCE-1-122"
