total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
20799.17377289,0.00000000,20799.17377289,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
20795.01397500,363.98231520,20431.03165980,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '363.98231520', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
20656.38709178,0.00000000,20656.38709178,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
20652.25604376,361.46670210,20290.78934166,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '361.46670210', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
20460.43568150,0.00000000,20460.43568150,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
20456.34400329,358.02184320,20098.32216009,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '358.02184320', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
20392.53948950,0.00000000,20392.53948950,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
20388.46132538,356.83936015,20031.62196523,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '356.83936015', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
20092.08348814,0.00000000,20092.08348814,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
20088.06488593,351.62769320,19736.43719273,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '351.62769320', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
20111.00245694,0.00000000,20111.00245694,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
20106.98041762,351.92844050,19755.05197712,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '351.92844050', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
20079.40305420,0.00000000,20079.40305420,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
20075.38707089,351.39853980,19723.98853109,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '351.39853980', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
19836.43463057,0.00000000,19836.43463057,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
19832.46696785,347.17048800,19485.29647985,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '347.17048800', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23994.77688723,0.00000000,23994.77688723,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23989.97725065,419.96820040,23570.00905025,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '419.96820040', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24092.77235895,0.00000000,24092.77235895,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24087.95361411,421.64017350,23666.31344061,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '421.64017350', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23721.98176579,0.00000000,23721.98176579,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23717.23783987,415.09351800,23302.14432187,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '415.09351800', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23485.94936803,0.00000000,23485.94936803,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23481.25238567,410.98595650,23070.26642917,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '410.98595650', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24029.36918931,0.00000000,24029.36918931,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24024.56360349,420.48875960,23604.07484389,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '420.48875960', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
