trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240118-170000-001-001-591,O-20240122-090000-001-001-592,SELL,FLAT,0.000,17.712,1705597200000000000,2024-01-18 17:00:00+00:00,1705914000000000000,2024-01-22 09:00:00+00:00,316800000000000,2481.42,2389.26,['34.50779367 USDT'],0.03714,1597.83012633 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240126-120000-001-001-593,O-20240201-020000-001-001-594,BUY,FLAT,0.000,19.919,1706270400000000000,2024-01-26 12:00:00+00:00,1706752800000000000,2024-02-01 02:00:00+00:00,482400000000000,2246.62,2259.77,['35.90511296 USDT'],0.00585,226.02973704 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240204-190000-001-001-595,O-20240205-090000-001-001-596,SELL,FLAT,0.000,19.687,1707073200000000000,2024-02-04 19:00:00+00:00,1707123600000000000,2024-02-05 09:00:00+00:00,50400000000000,2278.82,2320.39,['36.21785891 USDT'],-0.01824,-854.60644891 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240205-160000-001-001-597,O-20240206-030000-001-001-598,SELL,FLAT,0.000,19.317,1707148800000000000,2024-02-05 16:00:00+00:00,1707188400000000000,2024-02-06 03:00:00+00:00,39600000000000,2300.31,2315.79,['35.66768148 USDT'],-0.00673,-334.69484148 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240207-170000-001-001-599,O-20240209-150000-001-001-600,BUY,FLAT,0.000,18.372,1707325200000000000,2024-02-07 17:00:00+00:00,1707490800000000000,2024-02-09 15:00:00+00:00,165600000000000,2409.59,2494.24,['36.03726590 USDT'],0.03513,1519.15253410 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240218-230000-001-001-601,O-20240228-120000-001-001-602,BUY,FLAT,0.000,15.615,1708297200000000000,2024-02-18 23:00:00+00:00,1709121600000000000,2024-02-28 12:00:00+00:00,824400000000000,2883.58,3315.79,['38.72126502 USDT'],0.14989,6710.23788498 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240228-180000-001-001-603,O-20240229-010000-001-001-604,SELL,FLAT,0.000,14.564,1709143200000000000,2024-02-28 18:00:00+00:00,1709168400000000000,2024-02-29 01:00:00+00:00,25200000000000,3322.06,3423.62,['39.29763341 USDT'],-0.03057,-1518.41747341 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240303-170000-001-001-605,O-20240304-010000-001-001-606,BUY,FLAT,0.000,13.749,1709485200000000000,2024-03-03 17:00:00+00:00,1709514000000000000,2024-03-04 01:00:00+00:00,28800000000000,3463.84,3482.04,['38.19956164 USDT'],0.00525,212.03223836 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240305-160000-001-001-607,O-20240306-090000-001-001-608,SELL,FLAT,0.000,12.917,1709654400000000000,2024-03-05 16:00:00+00:00,1709715600000000000,2024-03-06 09:00:00+00:00,61200000000000,3695.0,3796.87,['38.70899392 USDT'],-0.02757,-1354.56378392 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240308-160000-001-001-609,O-20240308-180000-001-001-610,SELL,FLAT,0.000,12.038,1709913600000000000,2024-03-08 16:00:00+00:00,1709920800000000000,2024-03-08 18:00:00+00:00,7200000000000,3908.63,3931.75,['37.75299778 USDT'],-0.00592,-316.07155778 USDT,True
