total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
24451.44592937,0.00000000,24451.44592937,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24446.55561900,427.90215720,24018.65346180,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '427.90215720', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24369.39027022,0.00000000,24369.39027022,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24364.51646734,426.45775200,23938.05871534,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '426.45775200', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23976.36563662,0.00000000,23976.36563662,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23971.57043662,419.58000000,23551.99043662,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '419.58000000', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23887.94691790,0.00000000,23887.94691790,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23883.16940730,418.03217750,23465.13722980,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '418.03217750', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23885.70493074,0.00000000,23885.70493074,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23880.92783905,417.99552305,23462.93231600,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '417.99552305', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23185.29433529,0.00000000,23185.29433529,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23180.65726174,405.74393580,22774.91332594,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '405.74393580', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23591.40595606,0.00000000,23591.40595606,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23586.68764230,412.85245435,23173.83518795,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '412.85245435', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23684.54859384,0.00000000,23684.54859384,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23679.81175800,414.47313600,23265.33862200,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '414.47313600', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23507.16458488,0.00000000,23507.16458488,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23502.46314310,411.37615540,23091.08698770,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '411.37615540', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24414.19928979,0.00000000,24414.19928979,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
